Anglican Nonconformist
intransitivity transitivity
intraspecies interspecies
intrastate interstate
intrinsic extrinsic
intron exon
introspective extrospective
introversion ambiversion
introversion extraversion
introversive ambiversive
introversive extroversive
introvert extrovert
intrusive extrusive
intrusive protrusive
intrusive unintrusive
inutility utility
invalid valid
invalidate validate
invariability variability
invariable variable
invariableness variableness
invasive confined
invasive noninvasive
inverse direct
invertebrate vertebrate
invertible non-invertible
invest divest
invigorating debilitating
inviolable violable
invisibility visibility
invisible visible
invisibly visibly
inviting uninviting
involuntarily voluntarily
involuntary voluntary
involved uninvolved
involvement non-involvement
invulnerability vulnerability
invulnerable vulnerable
inward outward
inwardly outwardly
inwardness outwardness
iodinate de-iodinate
iodinating de-iodinating
ionate de-ionate
ionic nonionic
ionized nonionized
ipsilateral contralateral
ironed unironed
irrational rational
irrationally rationally
irreconcilable reconcilable
irreducible reducible
irregular regular
irregularity regularity
irregularly regularly
irrelevance relevance
irrelevant relevant
irrelevantly relevantly
irreligious religious
irremediable remediable
irremovable removable
irreparable reparable
irreplaceable replaceable
irresistible resistible
irresolute resolute
irresolutely resolutely
irresoluteness resoluteness
irresponsibility responsibility
irresponsible responsible
irresponsibleness responsibleness
irresponsibly responsibly
irreverence reverence
irreverent reverent
irreverently reverently
irreversibility reversibility
irreversible reversible
irreversible_process reversible_process
irrevocable revocable
irritate soothe
isometric isotonic
isotonic hypertonic
isotonic hypotonic
isotonic isometric
isotropic anisotropic
isotropy anisotropy
issue recall
jawed jawless
jawless jawed
join disjoin
joint separate
joy sorrow
joyful sorrowful
joyfully joylessly
joyless joyous
joylessly joyfully
joyous joyless
judgment_in_personam judgment_in_rem
judgment_in_rem judgment_in_personam
judgmental nonjudgmental
judiciously injudiciously
judiciousness injudiciousness
juiceless juicy
juicy juiceless
junior senior
just unjust
justice injustice
justifiably unjustifiably
justly unjustly
juvenile adult
katabatic anabatic
katamorphism anamorphism
keep break
keep lose
keep_down vomit
keep_quiet talk
keep_track lose_track
kern kern
keyed keyless
keyless keyed
kinanesthesia kinesthesia
kind unkind
kindly unkindly
kindness unkindness
kinesthesia kinanesthesia
king queen
knot unknot
know ignore
knowable unknowable
knowingly unknowingly
known unknown
labeled unlabeled
laced unlaced
laity clergy
lamented unlamented
landed landless
landless landed
larboard starboard
large small
largeness smallness
lash unlash
last first
late early
late middle
lateness earliness
latter former
laugh cry
laureled unlaureled
lawful unlawful
lawfully lawlessly
lawfully unlawfully
lawfulness unlawfulness
lawlessly lawfully
lax tense
laxative costive
lay_witness expert_witness
layman clergyman
lead deficit
leaded unleaded
leaded_gasoline unleaded_gasoline
leader follower
leading following
leafless leafy
leafy leafless
leaky tight
lean rich
leanness fatness
least most
leave arrive
leave_office take_office
leavened unleavened
leeward windward
left center
left right
left-handed ambidextrous
left-handed right-handed
legal illegal
legalise outlaw
legality illegality
legalize outlaw
legato staccato
legged legless
legibility illegibility
legible illegible
legibly illegibly
legitimacy illegitimacy
legitimate illegitimate
legitimately illegitimately
legless legged
lend borrow
lend_oneself defy
lender borrower
lengthen shorten
lengthwise crosswise
lentic lotic
leptorrhine catarrhine
leptorrhine platyrrhine
leptosporangiate eusporangiate
less more
lesser greater
let prevent
let_go_of hold
let_out take_in
lethargic energetic
level raise
levitation gravitation
levity gravity
levorotation dextrorotation
liability asset
liar square_shooter
liberal conservative
liberality illiberality
liberator captor
libertarian necessitarian
licit illicit
licitly illicitly
licitness illicitness
lidded lidless
lidless lidded
lie sit
lie stand
lie_down arise
light dark
light heavy
light-duty heavy-duty
light-footed heavy-footed
lighted unlighted
lighten darken
lighten weigh_down
lightly heavily
lightness darkness
lightness heaviness
like dislike
like unlike
liked disliked
likelihood unlikelihood
likeliness unlikeliness
likely unlikely
likeness unlikeness
liking dislike
limbed limbless
limbless limbed
limited unlimited
lineal collateral
linear cubic
linear nonlinear
linear planar
linearly geometrically
lined unlined
linger rush
linguistic nonlinguistic
lipless lipped
lipped lipless
liquid gaseous
liquid solid
listed unlisted
listed_security unlisted_security
literacy illiteracy
literal figurative
literalize spiritualize
literally figuratively
literate illiterate
little big
little much
littleness bigness
livable unlivable
live dead
live recorded
live_birth stillbirth
live_in live_out
live_out live_in
liveborn_infant stillborn_infant
lively dull
liveried unliveried
living dead
loaded unloaded
loading unloading
loamless loamy
loamy loamless
local express
local general
local national
location studio
lock unlock
lodge dislodge
log_in log_out
log_out log_in
logical illogical
logicality illogicality
logically illogically
logicalness illogicalness
long short
long-spurred short-spurred
longness shortness
look_down_on admire
loose compact
loose tight
loosen stiffen
looseness fixedness
looseness tightness
loosening tightening
lose break_even
lose find
lose keep
lose profit
lose win
lose_track keep_track
loser achiever
loser winner
losings winnings
loss gain
lossless lossy
lossy lossless
lost found
lost saved
lost won
lotic lentic
loud soft
louden quieten
loudly softly
loudness softness
lovable hateful
love hate
loved unloved
loving unloving
low high
low-interest high-interest
low-resolution high-resolution
low-rise high-rise
low-sudsing high-sudsing
low-tech high-tech
low-tension high-tension
low_explosive high_explosive
low_pitch high_pitch
low_quality high_quality
low_relief high_relief
low_spirits high
low_status high_status
low_tide high_tide
lowborn noble
lower raise
lower-class middle-class
lower-class upper-class
lowercase uppercase
lowered raised
lowland highland
lowland upland
lowness highness
loyal disloyal
loyally disloyally
loyalty disloyalty
lubricated unlubricated
luckily unluckily
lucky unlucky
lumper splitter
lyric dramatic
machine-made handmade
machine_wash handwash
made unmade
magnetic antimagnetic
magnetic geographic
magnetic nonmagnetic
magnetise demagnetise
magnetize demagnetize
major minor
major_surgery minor_surgery
majority minority
majuscule minuscule
make break
make unmake
make_peace war
maladaptive adaptive
maladjusted adjusted
maladroit adroit
maladroitly adroitly
malapropos apropos
male androgynous
male female
male_aristocrat female_aristocrat
male_child female_child
male_monarch female_monarch
male_offspring female_offspring
male_parent female_parent
male_sibling female_sibling
maleficence beneficence
maleficent beneficent
maleness femaleness
malevolence benevolence
malevolently benevolently
malfunction function
malfunctioning functioning
malicious unmalicious
malign benign
malignancy benignancy
malignant benign
malignity benignity
malleability unmalleability
malnourished nourished
malodorous fragrant
malted unmalted
man woman
manage fail
manageable unmanageable
manageably unmanageably
manfully unmanfully
manly unmanly
manned unmanned
manual automatic
many few
margin_account cash_account
marginality centrality
mark_down mark_up
mark_up mark_down
marked unmarked
market_economy non-market_economy
married unmarried
masculine feminine
masculine neuter
masculinity femininity
mask unmask
masochist sadist
masochistic sadistic
matched mismatched
mated unmated
material immaterial
materialise dematerialise
materiality immateriality
materialize dematerialize
maternal paternal
matriarchal patriarchal
mature immature
maturely immaturely
maturity immaturity
maxi midi
maxi mini
maximal minimal
maximally minimally
maximise minimise
maximization minimization
maximize minimize
maximum minimum
meager ample
meagerly amply
meaningful meaningless
meaningfulness meaninglessness
meaningless meaningful
meaninglessness meaningfulness
measurable immeasurable
measurably immeasurably
meatless meaty
meaty meatless
mechanical nonmechanical
mediacy immediacy
mediate immediate
medical surgical
medulla cortex
melodious unmelodious
melodiously unmelodiously
melted unmelted
member nonmember
membered memberless
memberless membered
memorably unmemorably
mendacity veracity
mental physical
mental_health mental_illness
mental_illness mental_health
merciful merciless
mercifulness mercilessness
merciless merciful
mercilessness mercifulness
merit demerit
merit_system spoils_system
merited unmerited
mesial distal
mesic hydric
mesic xeric
mesomorphic ectomorphic
mesomorphic endomorphic
metabolic ametabolic
metallic nonmetallic
metamorphic nonmetamorphic
middle beginning
middle early
middle end
middle late
middle-class lower-class
middle-class upper-class
midi maxi
midi mini
migratory nonmigratory
mild intense
militarise demilitarise
militarize demilitarize
military civilian
military unmilitary
mind forget
mindful unmindful
mindfully unmindfully
mindfulness unmindfulness
mined unmined
mini maxi
mini midi
minimal maximal
minimally maximally
minimise maximise
minimization maximization
minimize maximize
minimum maximum
minor major
minor_surgery major_surgery
minority majority
minus plus
minuscule majuscule
misbehave behave
miscarry carry_to_term
miscible immiscible
misconception conception
misconstruction construction
misfortune good_fortune
mismatched matched
misogyny philogyny
miss attend
miss have
miss hit
mistrust trust
misused used
mitigated unmitigated
mobile immobile
mobile stabile
mobilise demobilise
mobility immobility
mobilization demobilization
mobilize demobilize
moderate immoderate
moderately immoderately
moderating intensifying
moderation immoderation
modern nonmodern
modern old_style
modest immodest
modestly immodestly
modesty immodesty
modifiable unmodifiable
modified unmodified
modulated unmodulated
molar molecular
molecular molar
monaural binaural
monaurally binaurally
monetization demonetization
moneyed moneyless
moneyless moneyed
monism pluralism
monochromatic polychromatic
monoclinic triclinic
monoclinous diclinous
monocotyledonous dicotyledonous
monoecious dioecious
monogamous polygamous
monolingual multilingual
mononuclear binucleate
mononuclear trinucleate
monophonic polyphonic
monophonic_music polyphonic_music
monophony polyphony
monosemy polysemy
monotheism polytheism
monotheistic polytheistic
monotonic nonmonotonic
monovalent polyvalent
moonless moonlit
moonlit moonless
moral immoral
morality immorality
morally immorally
more fewer
more less
mortal immortal
mortal_sin venial_sin
mortality immortality
most fewest
most least
mother father
motility immotility
motion motionlessness
motionlessness motion
motivated unmotivated
motorized unmotorized
movability immovability
movableness immovableness
move stand_still
move stay
move_in move_out
move_out move_in
moved unmoved
moving nonmoving
moving still
moving unmoving
mown unmown
much little
multiculturalism nationalism
multidimensional unidimensional
multidimensional_language one-dimensional_language
multiform uniform
multilane single-lane
multilateral unilateral
multilaterally unilaterally
multilingual monolingual
multinucleate uninucleate
multiparous uniparous
multiple single
multiple-choice true-false
multiply divide
multiply singly
multivalent bivalent
multivalent univalent
mushroom toadstool
musical unmusical
musically unmusically
mutability immutability
mutable immutable
mutableness immutableness
muzzle unmuzzle
myelinated unmyelinated
myopia hyperopia
mystify demystify
mythologize demythologize
nadir zenith
naive sophisticated
naivete sophistication
narrow wide
narrow widen
narrow-minded broad-minded
narrow-mindedly broad-mindedly
narrow-mindedness broad-mindedness
narrowing widening
narrowly broadly
narrowness wideness
nascent dying
nastiness niceness
nasty nice
national international
national local
nationalise denationalise
nationalism internationalism
nationalism multiculturalism
nationalization denationalization
nationalize denationalize
native adopted
native foreign
native nonnative
nativeness foreignness
natural artificial
natural flat
natural sharp
natural supernatural
natural unnatural
natural_depression natural_elevation
natural_elevation natural_depression
natural_language artificial_language
natural_object artifact
naturalize denaturalize
naturally artificially
naturally unnaturally
naturalness unnaturalness
nay yea
nazify denazify
neap_tide springtide
near far
nearness farness
nearsighted farsighted
necessarily unnecessarily
necessary unnecessary
necessitarian libertarian
necessitate obviate
necked neckless
neckless necked
negate affirm
negative affirmative
negative neutral
negative positive
negative_charge positive_charge
negativeness positiveness
negativity positivity
neglect attend_to
negligent diligent
neighborliness unneighborliness
nephew niece
net gross
neurotic unneurotic
neurotic_depression psychotic_depression
neuter feminine
neuter masculine
neutral negative
neutral positive
never ever
new old
new worn
newness oldness
nice nasty
niceness nastiness
nidicolous nidifugous
nidifugous nidicolous
niece nephew
night day
night_game day_game
night_school day_school
nitrify denitrify
no all
no some
no yes
no-go go
no_longer still
noble ignoble
noble lowborn
nobleman noblewoman
noblewoman nobleman
nocturnal diurnal
node antinode
noisily quietly
noisy quiet
nominal real
nominative oblique
nomothetic idiographic
non-dedicated_file_server dedicated_file_server
non-engagement engagement
non-invertible invertible
non-involvement involvement
non-market_economy market_economy
non-proliferation proliferation
non-volatile_storage volatile_storage
nonabsorbency absorbency
nonabsorbent absorbent
nonaddictive addictive
nonadhesive adhesive
nonadsorbent adsorbent
nonalcoholic alcoholic
nonaligned aligned
nonalignment alignment
nonarbitrable arbitrable
nonarbitrary arbitrary
nonarboreal arboreal
nonassociative associative
nonastringent astringent
nonattendance attendance
nonbearing bearing
nonbeing being
nonbiodegradable_pollution biodegradable_pollution
noncausative causative
noncellular cellular
noncitizen citizen
noncivilized civilized
nonclassical classical
noncollapsible collapsible
noncolumned columned
noncombinative combinative
noncombustible combustible
noncommercial commercial
noncommissioned commissioned
noncompetitive competitive
noncompetitively competitively
noncompliance compliance
noncomprehensive comprehensive
noncomprehensively comprehensively
nonconductive conductive
nonconformism conformism
nonconformist conformist
nonconformity conformity
noncritical critical
noncrucial crucial
noncrystalline crystalline
noncurrent current
noncyclic cyclic
nondeductible deductible
nondevelopment development
nondisposable disposable
nondrinker drinker
nondriver driver
nonechoic echoic
noneffervescent effervescent
nonequivalence equivalence
nonexempt exempt
nonexistence existence
nonexistent existent
nonexploratory exploratory
nonexplosive explosive
nonextensile extensile
nonfat fatty
nonfatal fatal
nonfictional fictional
nonfinancial financial
nonfissile fissile
nonfissionable fissionable
nonfunctional functional
nonharmonic harmonic
nonhierarchical hierarchical
nonhuman human
nonimitative imitative
nonindulgent indulgent
nonindustrial industrial
noninfectious infectious
noninheritable inheritable
noninstitutional institutional
noninstitutionalized institutionalized
nonintegrated integrated
nonintellectual intellectual
noninterference interference
nonintervention intervention
noninvasive invasive
nonionic ionic
nonionized ionized
nonjudgmental judgmental
nonlinear linear
nonlinguistic linguistic
nonmagnetic magnetic
nonmechanical mechanical
nonmember member
nonmetallic metallic
nonmetamorphic metamorphic
nonmigratory migratory
nonmodern modern
nonmonotonic monotonic
nonmoving moving
nonnative native
nonobservance observance
nonoperational operational
nonparticipation participation
nonparticulate particulate
nonpartisan partisan
nonpasserine passerine
nonpayment payment
nonphotosynthetic photosynthetic
nonpolitical political
nonporous porous
nonpregnant pregnant
nonprehensile prehensile
nonprescription prescription
nonprofessional professional
nonproliferation proliferation
nonproprietary proprietary
nonpsychoactive psychoactive
nonracial racial
nonradioactive radioactive
nonrandom random
nonreciprocal reciprocal
nonreflective reflective
nonreligious_person religious_person
nonrepetitive repetitive
nonrepresentational representational
nonrepresentative representative
nonresident resident
nonresidential residential
nonreticulate reticulate
nonretractile retractile
nonreturnable returnable
nonreversible reversible
nonrigid rigid
nonruminant ruminant
nonsectarian sectarian
nonsignificant significant
nonsingular_matrix singular_matrix
nonslippery slippery
nonsmoker smoker
nonspatial spatial
nonspeaking speaking
nonspecific specific
nonspherical spherical
nonstandard standard
nonsteroidal steroidal
nonsubmersible submersible
nonsuppurative suppurative
nonsurgical surgical
nonsyllabic syllabic
nontaxable taxable
nontechnical technical
nonterritorial territorial
nonthermal thermal
nontoxic toxic
nontraditional traditional
nontranslational translational
nonuniformity uniformity
nonunion union
nonviolent violent
nonviolently violently
nonvolatile volatile
nonvolatile_storage volatile_storage
nonwashable washable
nonwoody woody
nonworker worker
normal abnormal
normal paranormal
normality abnormality
normotensive hypertensive
normotensive hypotensive
north south
northern southern
northernness southernness
nosed noseless
noseless nosed
notice ignore
noticeable unnoticeable
noticed unnoticed
nourished malnourished
noxious innocuous
nuclear conventional
numerate innumerate
numerical verbal
obedience disobedience
obedient disobedient
obediently disobediently
obey disobey
obfuscate clarify
object_program source_program
objective subjective
objectively subjectively
oblate prolate
obligate facultative
obligated unobligated
obligatorily optionally
obligatory optional
oblige disoblige
oblique nominative
oblique parallel
oblique perpendicular
oblique_angle right_angle
oblique_triangle right_triangle
obscurity clarity
obscurity prominence
observance nonobservance
obstruct free
obstructed unobstructed
obtrusive unobtrusive
obtrusively unobtrusively
obtrusiveness unobtrusiveness
obtuse acute
obtuseness acuteness
obverse reverse
obviate necessitate
obvious unobvious
occidentalise orientalise
occidentalize orientalize
occupied unoccupied
odd even
odd-toed_ungulate even-toed_ungulate
odorize deodorize
odorless odorous
odorous odorless
odourise deodourise
off on
off-line on-line
off-season high_season
off-site on-site
off-street on-street
offence defence
offending unoffending
offense defense
offensive defensive
offensive inoffensive
offensively defensively
offensively inoffensively
official unofficial
officially unofficially
offshore inshore
offshore onshore
offside onside
offstage onstage
often rarely
oiled unoiled
old new
old young
old_style modern
oldness newness
oldness youngness
oleophilic oleophobic
oleophobic oleophilic
omnidirectional directional
omnivorous carnivorous
omnivorous herbivorous
omnivorous insectivorous
on off
on-line off-line
on-site off-site
on-street off-street
on_the_one_hand on_the_other_hand
on_the_other_hand on_the_one_hand
one-dimensional_language multidimensional_language
one-piece three-piece
one-piece two-piece
onshore offshore
onside offside
onstage offstage
onymous anonymous
opacity clarity
opacity transparency
opaque clear
open close
open closed
open shut
open_chain closed_chain
open_circuit closed_circuit
open_interval closed_interval
open_up close_up
opening closing
openness closeness
operable inoperable
operational nonoperational
operative inoperative
opisthognathous prognathous
opportune inopportune
opportunely inopportunely
opportuneness inopportuneness
opposable unopposable
opposed unopposed
opposite alternate
optimism pessimism
optimist pessimist
optimistic pessimistic
optimistically pessimistically
optional obligatory
optionally obligatorily
orad aborad
oral aboral
oral anal
order disorder
ordered disordered
orderliness disorderliness
orderly disorderly
ordinal cardinal
ordinariness extraordinariness
ordinary extraordinary
organic functional
organic inorganic
organic_disorder functional_disorder
organically inorganically
organise disorganise
organize disorganize
organized disorganized
organized unorganized
orient disorient
orientalise occidentalise
orientalize occidentalize
oriented unoriented
orienting disorienting
original unoriginal
original_sin actual_sin
originality unoriginality
orthodox unorthodox
orthodoxy unorthodoxy
orthotropous campylotropous
ostentatious unostentatious
other same
otherworldliness worldliness
out safe
out-basket in-basket
out_of_hand in_hand
outbid underbid
outboard inboard
outbred inbred
outdoor indoor
outdoors indoors
outer inner
outfield infield
outflow inflow
outgo income
outgoing incoming
outlaw legalize
outpatient inpatient
outside inside
outspan inspan
outward inward
outwardly inwardly
outwardness inwardness
over-the-counter_drug prescription_drug
over-the-counter_medicine prescription_medicine
overachievement underachievement
overact underact
overbid underbid
overcast clear_up
overcharge undercharge
overdress underdress
overestimate underestimate
overexpose underexpose
overgarment undergarment
overhand underhand
overhead subsurface
overhead surface
overpay underpay
overshoot undershoot
overspend underspend
overstate understate
overstatement understatement
overstock understock
overt covert
overtime regulation_time
overtly covertly
overvalue undervalue
oviparous ovoviviparous
oviparous viviparous
ovoviviparous oviparous
ovoviviparous viviparous
ovulation anovulation
owned unowned
oxidise deoxidise
oxidize deoxidize
pack unpack
packaged unpackaged
paid unpaid
pain pleasure
painful painless
painfully painlessly
painless painful
painlessly painfully
paintable unpaintable
painted unpainted
palatability unpalatability
palatable unpalatable
palatably unpalatably
palingenesis cenogenesis
palingenetic cenogenetic
palpability impalpability
palpable impalpable
paper_loss paper_profit
paper_profit paper_loss
paradigmatic syntagmatic
parallel oblique
parallel perpendicular
parallel_operation serial_operation
parallelogram trapezium
paranormal normal
parasite host
pardonable unpardonable
pardonably unpardonably
parent child
parental filial
parented unparented
part-time full-time
partial impartial
partiality impartiality
participation nonparticipation
particular general
particular universal
particular_proposition universal_proposition
particularity generality
particulate nonparticulate
partisan nonpartisan
partly wholly
pass fail
passable impassable
passerine nonpasserine
passing failing
passing running
passionate passionless
passionless passionate
passive active
passive_trust active_trust
passive_voice active_voice
passively actively
past future
past present
pastness futurity
pastness presentness
paternal maternal
patience impatience
patient impatient
patiently impatiently
patriarchal matriarchal
patriotic unpatriotic
patriotically unpatriotically
patronise boycott
patronize boycott
patronized unpatronized
patterned plain
paved unpaved
pay_cash charge
pay_up default
payment nonpayment
peace war
peaceful unpeaceful
pedunculate sessile
penalty reward
penetrability impenetrability
penetrable impenetrable
penitent impenitent
penitently impenitently
perceptibility imperceptibility
perceptible imperceptible
perceptibly imperceptibly
perceptive unperceptive
perceptiveness unperceptiveness
perennial annual
perennial biennial
perfect imperfect
perfectibility imperfectibility
perfection imperfection
perfectly imperfectly
periapsis apoapsis
perigee apogee
perihelion aphelion
perijove apojove
perilune apolune
perinatal postnatal
perinatal prenatal
periodic aperiodic
peripheral central
peripherally centrally
peripteral apteral
periselene aposelene
perishable imperishable
peristalsis anastalsis
permanence impermanence
permanent impermanent
permanently temporarily
permeability impermeability
permeable impermeable
permissibility impermissibility
permissible impermissible
permissibly impermissibly
permissive preventive
permissive unpermissive
permissiveness unpermissiveness
permit forbid
perpendicular oblique
perpendicular parallel
perplexed unperplexed
persistent caducous
personal impersonal
personalise depersonalise
personalize depersonalize
personally impersonally
persuade dissuade
persuasion dissuasion
persuasive dissuasive
persuasiveness unpersuasiveness
pervious impervious
perviousness imperviousness
pessimism optimism
pessimist optimist
pessimistic optimistic
pessimistically optimistically
petalous apetalous
petit_larceny grand_larceny
phase_in phase_out
phase_out phase_in
philogyny misogyny
phlegmy dry
photosynthetic nonphotosynthetic
physical mental
pianissimo fortissimo
piano forte
piety impiety
pigeon-toed splayfooted
pigmentation depigmentation
pin unpin
pious impious
placable implacable
placental aplacental
plain fancy
plain patterned
plaintiff defendant
planar cubic
planar linear
planned unplanned
planted unplanted
plantigrade digitigrade
plantigrade_mammal digitigrade_mammal
platyrrhine catarrhine
platyrrhine leptorrhine
plausibility implausibility
plausible implausible
play_down play_up
play_up play_down
playable unplayable
playful unplayful
pleasant unpleasant
pleasantly unpleasantly
pleasantness unpleasantness
please displease
pleased displeased
pleasing displeasing
pleasingness unpleasingness
pleasure pain
pleasure_principle reality_principle
pleurocarp acrocarp
pleurocarpous acrocarpous
plowed unplowed
plucked bowed
plug_in unplug
plural singular
pluralism monism
plus minus
point_of_apoapsis point_of_periapsis
point_of_periapsis point_of_apoapsis
pointed pointless
pointedness unpointedness
pointless pointed
polar equatorial
polished unpolished
polite impolite
politely impolitely
politeness impoliteness
politic impolitic
political nonpolitical
political_correctness political_incorrectness
political_incorrectness political_correctness
polychromatic monochromatic
polygamous monogamous
polyphonic monophonic
polyphonic_music monophonic_music
polyphony monophony
polyploid diploid
polyploid haploid
polysemy monosemy
polytheism monotheism
polytheistic monotheistic
polyvalent monovalent
ponderable imponderable
poor rich
poor_people rich_people
pop_in pop_out
pop_out pop_in
popular unpopular
popularity unpopularity
porosity solidity
porous nonporous
portable unportable
posed unposed
positive negative
positive neutral
positive_charge negative_charge
positiveness negativeness
positivity negativity
possibility impossibility
possible impossible
possibly impossibly
postdate predate
posterior anterior
posteriority anteriority
posteriority priority
postmeridian antemeridian
postmortem antemortem
postnatal perinatal
postnatal prenatal
postnuptial prenuptial
postprandial preprandial
postwar prewar
potence impotence
potency impotency
potent impotent
potential actual
potted unpotted
poverty wealth
power powerlessness
power_mower hand_mower
powered unpowered
powerful powerless
powerfulness powerlessness
powerless powerful
powerlessness power
powerlessness powerfulness
practicability impracticability
practicableness impracticableness
practical impractical
practicality impracticality
praise criticize
precede follow
precede succeed
precedented unprecedented
precedentedly unprecedentedly
preceding succeeding
precise imprecise
precisely imprecisely
preciseness impreciseness
precision imprecision
precocial altricial
precocious retarded
predate postdate
predicative attributive
predictability unpredictability
predictable unpredictable
prefix suffix
pregnant nonpregnant
prehensile nonprehensile
prejudiced unprejudiced
premature full-term
premeditated unpremeditated
prenatal perinatal
prenatal postnatal
prenuptial postnuptial
preparation resolution
prepared unprepared
preprandial postprandial
prescription nonprescription
prescription_drug over-the-counter_drug
prescription_medicine over-the-counter_medicine
prescriptive descriptive
prescriptive_linguistics descriptive_linguistics
presence absence
present absent
present future
present past
presentness futurity
presentness pastness
preserved destroyed
preserved fresh
presidential unpresidential
pressurise depressurise
pressurize depressurize
pretentious unpretentious
pretentiously unpretentiously
pretentiousness unpretentiousness
prevent let
preventable unpreventable
preventive permissive
prewar postwar
pride humility
priestly unpriestly
primarily secondarily
primary secondary
principled unprincipled
printable unprintable
priority posteriority
private public
privately publicly
privileged underprivileged
pro anti
pro con
pro-American anti-American
pro-choice pro-life
pro-life pro-choice
proactive retroactive
probability improbability
probable improbable
procaryotic eucaryotic
processed unprocessed
productive unproductive
productively unproductively
productiveness unproductiveness
profane sacred
professional amateur
professional nonprofessional
professional unprofessional
profit break_even
profit lose
profitability unprofitability
profitable unprofitable
profitableness unprofitableness
profitably unprofitably
profound superficial
profundity superficiality
prognathous opisthognathous
progress regress
progressive regressive
prokaryote eukaryote
prokaryotic eukaryotic
prolate oblate
proliferation non-proliferation
proliferation nonproliferation
prolix concise
prominence obscurity
promote demote
promotion demotion
pronation supination
pronounceable unpronounceable
proper improper
proper_noun common_noun
properly improperly
properness improperness
prophetic unprophetic
propitious unpropitious
propitiously unpropitiously
propitiousness unpropitiousness
proportion disproportion
proportional_font fixed-width_font
proportionate disproportionate
proportionately disproportionately
proprietary nonproprietary
propriety impropriety
prosecute defend
prosecution defense
prospective retrospective
protected unprotected
protective unprotective
protrusive intrusive
proud humble
prove disprove
proved unproved
providence improvidence
provident improvident
providently improvidently
provincial cosmopolitan
provocative unprovocative
proximal distal
proximate ultimate
prudence imprudence
prudent imprudent
prudently imprudently
psychoactive nonpsychoactive
psychotic_depression neurotic_depression
public private
publicized suppressed
publicly privately
publishable unpublishable
published unpublished
pull push
pull_in pull_out
pull_out pull_in
punch_in punch_out
punch_out punch_in
punctual unpunctual
punctuality tardiness
puncturable punctureless
punctureless puncturable
punished unpunished
punitive rehabilitative
pure impure
purebred crossbred
purge rehabilitate
purifying adulterating
purity impurity
purposeful purposeless
purposefulness purposelessness
purposeless purposeful
purposelessness purposefulness
push pull
put_option call_option
pyretic antipyretic
quadruped biped
quadrupedal bipedal
qualified unqualified
qualify disqualify
qualitative quantitative
quantitative accentual
quantitative qualitative
quantitative syllabic
queen king
question answer
questionable unquestionable
quickly slowly
quiet active
quiet noisy
quiet unquiet
quieten louden
quietly noisily
quietly unquietly
quotable unquotable
racial nonracial
radial_asymmetry radial_symmetry
radial_symmetry radial_asymmetry
radical cauline
radioactive nonradioactive
radiolucent radiopaque
radiopaque radiolucent
rainy_season dry_season
raise level
raise lower
raised lowered
random nonrandom
rarely often
rational irrational
rationally irrationally
ratite carinate
ravel unravel
raw cooked
re-entrant salient
reactive unreactive
ready unready
ready-made custom-made
real nominal
real unreal
realistic unrealistic
realistically unrealistically
reality unreality
reality_principle pleasure_principle
rear front
rear head
reasonable unreasonable
reasonably unreasonably
reassure worry
reassuring unreassuring
recall issue
recede advance
receptive unreceptive
receptor effector
recessive dominant
reciprocal nonreciprocal
recognizably unrecognizably
reconcilable irreconcilable
reconstructed unreconstructed
record erase
recorded live
recoverable unrecoverable
recto verso
recuperate deteriorate
reduce blow_up
reduce gain
reduced_instruction_set_computer complex_instruction_set_computer
reduced_instruction_set_computing complex_instruction_set_computing
reducible irreducible
reentrant_angle salient_angle
refined unrefined
reflected unreflected
reflective nonreflective
refrain act
refresh tire
refuse accept
regenerate unregenerate
registered unregistered
regress progress
regressive progressive
regretful unregretful
regular irregular
regularity irregularity
regularly irregularly
regulate deregulate
regulated unregulated
regulation_time overtime
rehabilitate purge
rehabilitative punitive
reject accept
reject admit
rejection acceptance
rejective acceptive
rejuvenate age
related unrelated
relatedness unrelatedness
relative absolute
relax tense
relaxed tense
relevance irrelevance
relevant irrelevant
relevantly irrelevantly
reliability unreliability
reliable unreliable
reliableness unreliableness
reliably unreliably
religious irreligious
religious secular
religious_person nonreligious_person
remarkably unremarkably
remediable irremediable
remember forget
removable irremovable
renewable unrenewable
rentable unrentable
repair break
reparable irreparable
repatriate expatriate
repeatable unrepeatable
repel attract
repentant unrepentant
repentantly unrepentantly
repetitive nonrepetitive
replaceable irreplaceable
reportable unreportable
reported unreported
representational nonrepresentational
representative nonrepresentative
reprobate approbate
reproducible unreproducible
repulsion attraction
repulsive attractive
reputability disreputability
reputable disreputable
reputably disreputably
repute disrepute
requested unrequested
requisition derequisition
resentful unresentful
reserved unreserved
resident nonresident
residential nonresidential
resist surrender
resistible irresistible
resolute irresolute
resolutely irresolutely
resoluteness irresoluteness
resolution preparation
respect disrespect
respectability unrespectability
respectable unrespectable
respectful disrespectful
respectfully disrespectfully
responsibility irresponsibility
responsible irresponsible
responsibleness irresponsibleness
responsibly irresponsibly
responsive unresponsive
responsiveness unresponsiveness
rest be_active
rest_day workday
rested tired
restful restless
restless restful
restrained unrestrained
restraint unrestraint
restrict derestrict
restricted unrestricted
restrictive unrestrictive
retail wholesale
retarded precocious
retentive unretentive
reticulate nonreticulate
retractile nonretractile
retreat advance
retroactive proactive
retrograde anterograde
retrograde direct
retrorse antrorse
retrospective prospective
returnable nonreturnable
revealing concealing
